Code,Category,Sub_Category,Question,Answer,Difficulty,SubCatName,Flag
1222,Arts & Literature,Literature & Authors,In Tarka the Otter what was Old Nog?,A Heron,Specialized Knowledge,Arts & Literature|Literature & Authors,
1232,Arts & Literature,Literature & Authors,"Other than meat, what is also known as a leg of mutton?",A Kind of Sleeve,Specialized Knowledge,Arts & Literature|Literature & Authors,
1256,Arts & Literature,Literature & Authors,In Watership Down rabbit language what is a hrududu,A motor car,Moderate Knowledge,Arts & Literature|Literature & Authors,
1268,Arts & Literature,Literature & Authors,Where did Hamlet send his girlfriend Ophelia?,A Nunnery,Moderate Knowledge,Arts & Literature|Literature & Authors,
1273,Arts & Literature,Literature & Authors,Which famous novel is divided into three parts: Mosques Caves and Temples?,A Passage to India,Specialized Knowledge,Arts & Literature|Literature & Authors,
1279,Arts & Literature,Literature & Authors,What animal is Snowball in George Orwell's Animal Farm?,A pig,Common Knowledge,Arts & Literature|Literature & Authors,
1280,Arts & Literature,Literature & Authors,Who or what is the Empress of Blandings?,A Pig,Specialized Knowledge,Arts & Literature|Literature & Authors,
1332,Arts & Literature,Literature & Authors,What was the title of John Lennon's second book?,A Spaniard In The Works,Specialized Knowledge,Arts & Literature|Literature & Authors,
1393,Arts & Literature,Literature & Authors,Who created Winnie the Pooh,A. A. Milne,Moderate Knowledge,Arts & Literature|Literature & Authors,
1394,Arts & Literature,Literature & Authors,What author's only detective work was The Red House Mystery?,A.A. Milne,Specialized Knowledge,Arts & Literature|Literature & Authors,
1439,Arts & Literature,Literature & Authors,Who is Pip's benefactor in Dickens's Great Expectations?,Abel Magwitch,Specialized Knowledge,Arts & Literature|Literature & Authors,
1507,Arts & Literature,Literature & Authors,What is detective Hercule Poirot's brother's name,Achille,Specialized Knowledge,Arts & Literature|Literature & Authors,
1587,Arts & Literature,Literature & Authors,What was the name of the inn in Treasure Island?,Admiral Benbow,Specialized Knowledge,Arts & Literature|Literature & Authors,
1656,Arts & Literature,Literature & Authors,Name the famous Greek writer of fables?,Aesop,Moderate Knowledge,Arts & Literature|Literature & Authors,
1657,Arts & Literature,Literature & Authors,"Who is credited with the quote ""Don't count your chickens before they hatch""?",Aesop,Common Knowledge,Arts & Literature|Literature & Authors,
1695,Arts & Literature,Literature & Authors,Name the award shaped like a teapot with a skull and crossbones,Agatha Award,Specialized Knowledge,Arts & Literature|Literature & Authors,
1696,Arts & Literature,Literature & Authors,The detective Miss Marple was created by which writer?,Agatha christie,Common Knowledge,Arts & Literature|Literature & Authors,
1697,Arts & Literature,Literature & Authors,Which detective story writer created the character Tommy Beresford,Agatha Christie,Specialized Knowledge,Arts & Literature|Literature & Authors,
1698,Arts & Literature,Literature & Authors,Which famous mystery writer created a mystery by disappearing in 1926,Agatha Christie,Moderate Knowledge,Arts & Literature|Literature & Authors,
1699,Arts & Literature,Literature & Authors,Who created the character Parker Pyne?,Agatha Christie,Specialized Knowledge,Arts & Literature|Literature & Authors,
1700,Arts & Literature,Literature & Authors,Whose last published novel was Murder from the Past,Agatha Christie,Specialized Knowledge,Arts & Literature|Literature & Authors,
1701,Arts & Literature,Literature & Authors,Which British crime author and Dame died in January 1976 aged 85?,Agatha Christie,Common Knowledge,Arts & Literature|Literature & Authors,
1765,Arts & Literature,Literature & Authors,Who was the leader of the wolves in Kipling's Jungle Book?,Akela,Moderate Knowledge,Arts & Literature|Literature & Authors,
1790,Arts & Literature,Literature & Authors,Which hero and Christmas pantomime favorite marries Bedr-El-Budar?,Aladdin,Moderate Knowledge,Arts & Literature|Literature & Authors,
1795,Arts & Literature,Literature & Authors,What was A.A. Milne's first name,Alan,Moderate Knowledge,Arts & Literature|Literature & Authors,
1807,Arts & Literature,Literature & Authors,"Name the South African author of ""Cry, the Beloved Country""",Alan Paton,Specialized Knowledge,Arts & Literature|Literature & Authors,
1814,Arts & Literature,Literature & Authors,Whose first novel was Saturday Night and Sunday Morning,Alan Sillitoe,Specialized Knowledge,Arts & Literature|Literature & Authors,
1873,Arts & Literature,Literature & Authors,Which Algerian-born French author's works included L'Etranger and La Peste,Albert Camus,Moderate Knowledge,Arts & Literature|Literature & Authors,
1883,Arts & Literature,Literature & Authors,H.G. Wells' invisible man had what physical characteristic?,Albino,Specialized Knowledge,Arts & Literature|Literature & Authors,
1918,Arts & Literature,Literature & Authors,Who is the author of Brave New World?,Aldous Huxley,Moderate Knowledge,Arts & Literature|Literature & Authors,
1999,Arts & Literature,Literature & Authors,John Tenniel drew the illustrations for what famous book?,Alice in Wonderland,Moderate Knowledge,Arts & Literature|Literature & Authors,
2008,Arts & Literature,Literature & Authors,What was Dante's last name?,Alighieri,Moderate Knowledge,Arts & Literature|Literature & Authors,
2024,Arts & Literature,Literature & Authors,What connects the plays Julius Caesar Hamlet Macbeth and Richard III?,All contain ghosts,Specialized Knowledge,Arts & Literature|Literature & Authors,
2025,Arts & Literature,Literature & Authors,What is the motto of the Three Musketeers?,All for one and one for all,Common Knowledge,Arts & Literature|Literature & Authors,
2043,Arts & Literature,Literature & Authors,What famous 1920s novel is titled 'Im Westen Nichts Neues'?,All Quiet on the Western Front,Specialized Knowledge,Arts & Literature|Literature & Authors,
2058,Arts & Literature,Literature & Authors,Who is the hero of Rider Haggard's novel King Solomon's Mines,Allan Quatermain,Specialized Knowledge,Arts & Literature|Literature & Authors,
2071,Arts & Literature,Literature & Authors,Joseph Whitaker is associated with what type of reference book?,Almanac,Specialized Knowledge,Arts & Literature|Literature & Authors,
2120,Arts & Literature,Literature & Authors,"What is the title of Peter Shaffer's play about Mozart, also made into a film?",Amadeus,Moderate Knowledge,Arts & Literature|Literature & Authors,
2169,Arts & Literature,Literature & Authors,What was the Swiss Family Robinson's destination when they were shipwrecked,America,Moderate Knowledge,Arts & Literature|Literature & Authors,
2246,Arts & Literature,Literature & Authors,What was the title of the novel that won the 1998 Booker Prize,Amsterdam,Specialized Knowledge,Arts & Literature|Literature & Authors,
2257,Arts & Literature,Literature & Authors,Which novelist wrote The Joy Luck Club and The Kitchen God's Wife,Amy Tan,Moderate Knowledge,Arts & Literature|Literature & Authors,
2259,Arts & Literature,Literature & Authors,Dorothy Parker said scratch an actor and you will find what,An actress,Specialized Knowledge,Arts & Literature|Literature & Authors,
2275,Arts & Literature,Literature & Authors,In Franz Kafka's Metamorphosis what does Gregor Samsa wake up as?,An Insect,Moderate Knowledge,Arts & Literature|Literature & Authors,
2321,Arts & Literature,Literature & Authors,With which four words did Samuel Pepys end his diary each day,And so to bed,Specialized Knowledge,Arts & Literature|Literature & Authors,
2339,Arts & Literature,Literature & Authors,Who became the British Poet Laureate in 1999?,Andrew Motion,Specialized Knowledge,Arts & Literature|Literature & Authors,
2355,Arts & Literature,Literature & Authors,Whose recent books include Crisis Four and Firewall?,Andy McNab,Specialized Knowledge,Arts & Literature|Literature & Authors,
2376,Arts & Literature,Literature & Authors,Shakespeare's Measure for Measure deals with what contemporary theme?,Angelo Harasses Isabella Sexually,Specialized Knowledge,Arts & Literature|Literature & Authors,
2398,Arts & Literature,Literature & Authors,Four legs good two legs bad is a quotation from which novel,Animal Farm,Moderate Knowledge,Arts & Literature|Literature & Authors,
2429,Arts & Literature,Literature & Authors,Who was William Shakespeare's wife?,Anne Hathaway,Moderate Knowledge,Arts & Literature|Literature & Authors,
2517,Arts & Literature,Literature & Authors,What well known Russian author was also a doctor?,Anton Chekhov,Moderate Knowledge,Arts & Literature|Literature & Authors,
2521,Arts & Literature,Literature & Authors,Who was the merchant in Shakespeare's The Merchant of Venice?,Antonio,Moderate Knowledge,Arts & Literature|Literature & Authors,
2522,Arts & Literature,Literature & Authors,Who was the title character in The Merchant of Venice?,Antonio,Moderate Knowledge,Arts & Literature|Literature & Authors,
2654,Arts & Literature,Literature & Authors,In what book does Scheherazade appear?,Arabian Nights,Moderate Knowledge,Arts & Literature|Literature & Authors,
2655,Arts & Literature,Literature & Authors,In which book is Scheherazade a storyteller,Arabian Nights,Moderate Knowledge,Arts & Literature|Literature & Authors,
2818,Arts & Literature,Literature & Authors,Who was the writer of the novel 'Anna of the Five Towns'?,Arnold Bennett,Specialized Knowledge,Arts & Literature|Literature & Authors,
2825,Arts & Literature,Literature & Authors,In which book would you find the manservant Passepartout?,Around the World in 80 Days,Moderate Knowledge,Arts & Literature|Literature & Authors,
2861,Arts & Literature,Literature & Authors,How is Jack Dawkins otherwise known in a Charles Dickens novel?,Artful Dodger,Moderate Knowledge,Arts & Literature|Literature & Authors,
2862,Arts & Literature,Literature & Authors,Who was John Dawkins better known as?,Artful Dodger,Moderate Knowledge,Arts & Literature|Literature & Authors,
2870,Arts & Literature,Literature & Authors,Who said 'Any sufficiently advanced technology is indistinguishable from magic'?,Arthur C Clarke,Moderate Knowledge,Arts & Literature|Literature & Authors,
2877,Arts & Literature,Literature & Authors,What American playwright titled his autobiography Timebends,Arthur Miller,Specialized Knowledge,Arts & Literature|Literature & Authors,
2926,Arts & Literature,Literature & Authors,In The Lion the Witch and the Wardrobe what is the Lion's name,Aslan,Common Knowledge,Arts & Literature|Literature & Authors,
2927,Arts & Literature,Literature & Authors,What is the name of the lion in The Lion the Witch and the Wardrobe,Aslan,Common Knowledge,Arts & Literature|Literature & Authors,
3007,Arts & Literature,Literature & Authors,What city was the setting for 'Gone With the Wind'?,Atlanta,Moderate Knowledge,Arts & Literature|Literature & Authors,
3109,Arts & Literature,Literature & Authors,What was Dorothy's aunt's name in The Wizard of Oz?,Aunt Em,Moderate Knowledge,Arts & Literature|Literature & Authors,
3110,Arts & Literature,Literature & Authors,"In the Ian Fleming novel ""Goldfinger"", what was Goldfinger's first name",Auric,Specialized Knowledge,Arts & Literature|Literature & Authors,
3113,Arts & Literature,Literature & Authors,What is the princess's name in the story The Sleeping Beauty?,Aurora,Common Knowledge,Arts & Literature|Literature & Authors,
3123,Arts & Literature,Literature & Authors,"In Donald Horne's 1964 book which country was ironically nicknamed ""The Lucky Country""?",Australia,Specialized Knowledge,Arts & Literature|Literature & Authors,
3124,Arts & Literature,Literature & Authors,What country is the setting for the novel The Thorn Birds?,Australia,Moderate Knowledge,Arts & Literature|Literature & Authors,
3185,Arts & Literature,Literature & Authors,What is the profession of Jorge Amado?,Author,Specialized Knowledge,Arts & Literature|Literature & Authors,
3231,Arts & Literature,Literature & Authors,Where is the novel 'Anne of Green Gables' set,Avonlea,Moderate Knowledge,Arts & Literature|Literature & Authors,
3256,Arts & Literature,Literature & Authors,Name the little elephant in books by Jean de Brunhoff?,Babar,Moderate Knowledge,Arts & Literature|Literature & Authors,
3257,Arts & Literature,Literature & Authors,Which famous character did Jean de Brunhoff create in 1931?,Babar the Elephant,Moderate Knowledge,Arts & Literature|Literature & Authors,
3258,Arts & Literature,Literature & Authors,Who did Jean de Brunhoff create?,Babar the Elephant,Moderate Knowledge,Arts & Literature|Literature & Authors,
3270,Arts & Literature,Literature & Authors,Name the triangular cotton headscarf or Russian grandmother,Babushka,Moderate Knowledge,Arts & Literature|Literature & Authors,
3272,Arts & Literature,Literature & Authors,What is the all-time best-selling paperback book,Baby and Child Care,Moderate Knowledge,Arts & Literature|Literature & Authors,
3351,Arts & Literature,Literature & Authors,What type of animal is Rupert the Bear's best friend Bill,Badger,Moderate Knowledge,Arts & Literature|Literature & Authors,
3380,Arts & Literature,Literature & Authors,What animal in The Jungle Book is also a type of uncut velvet,Bagheera,Specialized Knowledge,Arts & Literature|Literature & Authors,
3405,Arts & Literature,Literature & Authors,Sherlock Holmes lived at 221b which street?,Baker,Common Knowledge,Arts & Literature|Literature & Authors,
3534,Arts & Literature,Literature & Authors,Who was with Macbeth when he met the witches?,Banquo,Moderate Knowledge,Arts & Literature|Literature & Authors,
3535,Arts & Literature,Literature & Authors,Whose ghost appears at the dinner table in Macbeth,Banquo's,Moderate Knowledge,Arts & Literature|Literature & Authors,
3555,Arts & Literature,Literature & Authors,Mrs Hugh McCorquodale was famous under what literary name?,Barbara Cartland,Moderate Knowledge,Arts & Literature|Literature & Authors,
3581,Arts & Literature,Literature & Authors,What is the name given to the fortified gateway of a castle,Barbican,Moderate Knowledge,Arts & Literature|Literature & Authors,
3609,Arts & Literature,Literature & Authors,The raven called 'Grip' appears in which Charles Dickens novel?,Barnaby Rudge,Specialized Knowledge,Arts & Literature|Literature & Authors,
3610,Arts & Literature,Literature & Authors,Which of Dickens's novels is set during the Gordon Riots?,Barnaby Rudge,Specialized Knowledge,Arts & Literature|Literature & Authors,
3628,Arts & Literature,Literature & Authors,Who created the character The Scarlet Pimpernel?,Baroness Orczy,Specialized Knowledge,Arts & Literature|Literature & Authors,
3732,Arts & Literature,Literature & Authors,In Kipling's Jungle Book Mang was what type of creature?,Bat,Specialized Knowledge,Arts & Literature|Literature & Authors,
3733,Arts & Literature,Literature & Authors,What type of creature was Mang in Kipling's Jungle Book,Bat,Specialized Knowledge,Arts & Literature|Literature & Authors,
3837,Arts & Literature,Literature & Authors,Students at Cambridge University cannot keep dogs - what did Lord Byron keep?,Bear,Specialized Knowledge,Arts & Literature|Literature & Authors,
3844,Arts & Literature,Literature & Authors,What do all seven dwarfs except Dopey have?,Beards,Common Knowledge,Arts & Literature|Literature & Authors,
3852,Arts & Literature,Literature & Authors,How is Mrs William Heelis better known?,Beatrix Potter,Moderate Knowledge,Arts & Literature|Literature & Authors,
3853,Arts & Literature,Literature & Authors,What writer lived at hilltop near Hawkshead now a museum to her,Beatrix Potter,Moderate Knowledge,Arts & Literature|Literature & Authors,
3854,Arts & Literature,Literature & Authors,Which writer created Tabitha Twitchit Babbity Bumble and Mr Tod,Beatrix Potter,Moderate Knowledge,Arts & Literature|Literature & Authors,
3855,Arts & Literature,Literature & Authors,Who created Peter Rabbit?,Beatrix Potter,Common Knowledge,Arts & Literature|Literature & Authors,
3880,Arts & Literature,Literature & Authors,Who is the anti-heroine of Thackeray's novel without a hero,Becky Sharp,Specialized Knowledge,Arts & Literature|Literature & Authors,
3906,Arts & Literature,Literature & Authors,Who was the angel in Milton's Paradise Lost?,Beelzebub,Specialized Knowledge,Arts & Literature|Literature & Authors,
3908,Arts & Literature,Literature & Authors,What is Nero Wolfe's favorite drink during office hours?,Beer,Specialized Knowledge,Arts & Literature|Literature & Authors,
3980,Arts & Literature,Literature & Authors,George Simenon created Inspector Maigret - what nationality was Simenon?,Belgian,Specialized Knowledge,Arts & Literature|Literature & Authors,
3981,Arts & Literature,Literature & Authors,In which country was Graham Greene's novel 'A Burnt Out Case' set?,Belgian Congo,Specialized Knowledge,Arts & Literature|Literature & Authors,
4018,Arts & Literature,Literature & Authors,Who was Bilbo Baggins' mother?,Belladonna Took,Specialized Knowledge,Arts & Literature|Literature & Authors,
4041,Arts & Literature,Literature & Authors,What was the first work of fiction blessed by the Pope?,Ben Hur,Specialized Knowledge,Arts & Literature|Literature & Authors,
4044,Arts & Literature,Literature & Authors,Who was the first English Poet Laureate in 1616?,Ben Jonson,Specialized Knowledge,Arts & Literature|Literature & Authors,
4048,Arts & Literature,Literature & Authors,Which Nigerian won the Booker Prize in 1991 with 'The Famished Road',Ben Okri,Specialized Knowledge,Arts & Literature|Literature & Authors,
4099,Arts & Literature,Literature & Authors,In the Anglo-Saxon poem who killed Grendel?,Beowulf,Moderate Knowledge,Arts & Literature|Literature & Authors,
4105,Arts & Literature,Literature & Authors,What is a flat round hat sometimes worn by soldiers called?,Beret,Common Knowledge,Arts & Literature|Literature & Authors,
4157,Arts & Literature,Literature & Authors,In Kipling's How the Leopard Got His Spots what is the leopard's name?,Best Beloved,Specialized Knowledge,Arts & Literature|Literature & Authors,
4158,Arts & Literature,Literature & Authors,The Newbery Medal is given annually for what?,Best Children's book,Moderate Knowledge,Arts & Literature|Literature & Authors,
4167,Arts & Literature,Literature & Authors,In Dante's Inferno what crime was committed by those in the lowest level,Betrayal,Specialized Knowledge,Arts & Literature|Literature & Authors,
4176,Arts & Literature,Literature & Authors,This US magazine used to boast a circulation of 7777777?,Better Homes and Gardens,Specialized Knowledge,Arts & Literature|Literature & Authors,
4221,Arts & Literature,Literature & Authors,In the book 1984 who is watching?,Big Brother,Common Knowledge,Arts & Literature|Literature & Authors,
4228,Arts & Literature,Literature & Authors,Which Enid Blyton character's name was changed to White Beard in the USA?,Big Ears,Specialized Knowledge,Arts & Literature|Literature & Authors,
4238,Arts & Literature,Literature & Authors,Which hero did Captain W E Johns invent?,Biggles,Specialized Knowledge,Arts & Literature|Literature & Authors,
4241,Arts & Literature,Literature & Authors,Whose memoirs were titled 'There and Back Again'?,Bilbo Baggins,Moderate Knowledge,Arts & Literature|Literature & Authors,
4247,Arts & Literature,Literature & Authors,Whose first 2 books are entitled The Lost Continent and Neither Here Nor There?,Bill Bryson,Moderate Knowledge,Arts & Literature|Literature & Authors,
4260,Arts & Literature,Literature & Authors,Which literary character had a dog called Bull's Eye,Bill Sykes,Specialized Knowledge,Arts & Literature|Literature & Authors,
4261,Arts & Literature,Literature & Authors,Who kills Nancy in Dickens' novel Oliver Twist?,Bill Sykes,Moderate Knowledge,Arts & Literature|Literature & Authors,
4262,Arts & Literature,Literature & Authors,Who created Calvin and Hobbes?,Bill Watterson,Moderate Knowledge,Arts & Literature|Literature & Authors,
4310,Arts & Literature,Literature & Authors,What is a novel by Keith Waterhouse,Billy Liar,Specialized Knowledge,Arts & Literature|Literature & Authors,
4532,Arts & Literature,Literature & Authors,In Great Expectations what was the occupation of Joe Gargery,Blacksmith,Moderate Knowledge,Arts & Literature|Literature & Authors,
4538,Arts & Literature,Literature & Authors,What character won Vivian Leigh an Oscar in her 30s?,Blanche Dubois,Specialized Knowledge,Arts & Literature|Literature & Authors,
4539,Arts & Literature,Literature & Authors,What is Little Red Riding Hood's name?,Blanchette,Specialized Knowledge,Arts & Literature|Literature & Authors,
4548,Arts & Literature,Literature & Authors,In which Charles Dickens novel does the character Quebec Bagnet appear?,Bleak House,Specialized Knowledge,Arts & Literature|Literature & Authors,
4549,Arts & Literature,Literature & Authors,In which Dickens novel is there a case of spontaneous combustion,Bleak House,Specialized Knowledge,Arts & Literature|Literature & Authors,
4550,Arts & Literature,Literature & Authors,Inspector Bucket appears in which Charles Dickens novel?,Bleak House,Specialized Knowledge,Arts & Literature|Literature & Authors,
4551,Arts & Literature,Literature & Authors,Which Charles Dickens novel features a case of 'spontaneous combustion',Bleak House,Specialized Knowledge,Arts & Literature|Literature & Authors,
4599,Arts & Literature,Literature & Authors,Which company published the Harry Potter novels?,Bloomsbury,Moderate Knowledge,Arts & Literature|Literature & Authors,
4600,Arts & Literature,Literature & Authors,With what did writers replace the pouncepot?,Blotting paper,Specialized Knowledge,Arts & Literature|Literature & Authors,
4693,Arts & Literature,Literature & Authors,What is the name of Tiny Tim's father in 'A Christmas Carol'?,Bob Cratchit,Common Knowledge,Arts & Literature|Literature & Authors,
4734,Arts & Literature,Literature & Authors,Who went to sea with silver buckles at his knees in the nursery rhyme,Bobby Shaftoe,Moderate Knowledge,Arts & Literature|Literature & Authors,
4842,Arts & Literature,Literature & Authors,Which literary prize started in 1968?,Booker Prize,Moderate Knowledge,Arts & Literature|Literature & Authors,
4864,Arts & Literature,Literature & Authors,Who refused the Nobel Literature Prize in 1958?,Boris Pasternak,Specialized Knowledge,Arts & Literature|Literature & Authors,
4867,Arts & Literature,Literature & Authors,Which was the first book to tell the story of the lioness Elsa?,Born Free,Moderate Knowledge,Arts & Literature|Literature & Authors,
4959,Arts & Literature,Literature & Authors,What did the sparrow kill Cock Robin with?,Bow and arrow,Common Knowledge,Arts & Literature|Literature & Authors,
4971,Arts & Literature,Literature & Authors,What was the name of the horse in George Orwell's Animal Farm,Boxer,Moderate Knowledge,Arts & Literature|Literature & Authors,
4972,Arts & Literature,Literature & Authors,What was the name of the main horse in George Orwell's Animal Farm?,Boxer,Moderate Knowledge,Arts & Literature|Literature & Authors,
5055,Arts & Literature,Literature & Authors,Name the author of Dracula,Bram Stoker,Moderate Knowledge,Arts & Literature|Literature & Authors,
5056,Arts & Literature,Literature & Authors,Who was the author of Dracula?,Bram Stoker,Moderate Knowledge,Arts & Literature|Literature & Authors,
5083,Arts & Literature,Literature & Authors,What was the name of the Bronte sisters' brother?,Branwell,Specialized Knowledge,Arts & Literature|Literature & Authors,
5088,Arts & Literature,Literature & Authors,What book was banned in Ireland in 1932?,Brave New World,Specialized Knowledge,Arts & Literature|Literature & Authors,
